# id	sire	dam	sex	generation
2628	792	1115	2	F4
2631	792	1115	1	F4
2639	854	1086	2	F4
2644	854	1086	1	F4
2648	1036	1070	2	F4
2653	1036	1070	1	F4
2663	696	1124	1	F4
2665	696	1124	2	F4
2676	1079	1057	2	F4
2678	1079	1057	1	F4
2679	691	1085	2	F4
2688	1059	853	1	F4
2695	1059	853	2	F4
2698	1071	1065	2	F4
2700	1071	1065	1	F4
2706	1118	1030	2	F4
2711	1118	1030	1	F4
2718	951	694	2	F4
2720	951	694	1	F4
2745	1091	1138	2	F4
2759	1134	705	1	F4
2761	1134	705	2	F4
2780	1163	730	1	F4
2782	1163	730	2	F4
2785	1163	730	1	F4
2958	1319	1219	1	F4
2960	1319	1219	2	F4
2972	1254	1235	1	F4
2976	1254	1235	2	F4
2985	1413	1315	1	F4
2986	1413	1315	2	F4
3055	1328	1223	2	F4
3059	1328	1223	1	F4
3064	1342	1264	2	F4
3069	1342	1264	1	F4
3074	1333	1190	2	F4
3080	1333	1190	1	F4
3207	1209	1380	2	F4
3209	1209	1380	1	F4
3217	1379	1401	1	F4
3225	1417	1337	2	F4
3235	1417	1337	1	F4
3254	1462	1320	2	F4
3257	1462	1320	1	F4
3269	1252	1390	2	F4
3270	1252	1390	1	F4
3274	1214	1282	1	F4
3281	1214	1282	2	F4
3293	1314	1377	2	F4
3304	1314	1377	1	F4
3320	1435	1367	1	F4
3329	1283	1486	2	F4
3333	1283	1486	1	F4
3337	1501	1293	1	F4
3345	1501	1293	2	F4
3378	1479	1463	2	F4
3379	1479	1463	1	F4
3384	1485	1273	1	F4
3387	1485	1273	2	F4
3394	1467	1481	1	F4
3400	1231	1510	2	F4
3403	1231	1510	1	F4
3409	1387	1261	1	F4
3414	1387	1261	2	F4
3475	1539	1541	2	F4
3483	1539	1541	1	F4
3485	1532	1586	1	F4
3488	1532	1586	2	F4
3494	1391	1419	2	F4
3496	1391	1419	1	F4
3504	1561	1198	2	F4
3505	1561	1198	1	F4
3511	1365	1550	1	F4
3512	1365	1550	2	F4
3518	1313	1664	1	F4
3526	1313	1664	2	F4
3528	1588	1577	1	F4
3529	1588	1577	2	F4
3605	1604	1225	2	F4
3606	1604	1225	1	F4
3610	1575	1569	1	F4
3617	1575	1569	2	F4
3628	1477	1411	2	F4
3632	1477	1411	1	F4
3636	1699	1623	1	F4
3645	1699	1623	2	F4
3661	1526	1540	2	F4
3667	1525	1563	2	F4
3672	1525	1563	1	F4
3680	1530	1466	2	F4
3743	1207	1597	2	F4
3744	1207	1597	1	F4
3746	1638	1677	1	F4
3747	1638	1677	2	F4
3756	1381	1685	1	F4
3759	1381	1685	2	F4
3762	1609	1202	2	F4
3765	1609	1202	1	F4
3775	1619	1332	1	F4
3777	1619	1332	2	F4
3795	1688	1612	1	F4
3803	1688	1612	2	F4
3818	1182	1422	2	F4
3835	1585	1734	2	F4
3838	1585	1734	1	F4
3867	1191	1310	2	F4
3869	1754	1594	1	F4
3872	1754	1594	1	F4
3941	1747	1782	2	F4
3948	1747	1782	1	F4
3950	1668	1839	1	F4
4014	1521	1789	1	F4
4020	1721	1762	2	F4
4025	1729	1831	1	F4
4026	1729	1831	2	F4
4041	1825	1708	1	F4
4043	1825	1708	2	F4
4044	1819	1696	2	F4
4046	1819	1696	1	F4
4054	1834	1738	1	F4
4058	1834	1738	2	F4
4071	1885	1817	1	F4
4078	1885	1817	2	F4
4080	1862	1766	1	F4
4082	1862	1766	1	F4
