eps,mu,Type,power,r
7,2.556,fdr,470.0,8-9
7,2.556,fdr0,470.0,8-9
3,2.667,hcFull,270.0,1
3,2.667,ggnull,130.0,10-17
3,2.667,ghc,130.0,10-17
3,2.667,hc,130.0,10-17
3,2.667,gnull,130.0,10-17
3,2.667,hc0,130.0,10-17
3,2.667,ghc0,130.0,10-17
3,2.667,gnull0,130.0,10-17
3,2.667,ggnull0,130.0,10-17
3,2.667,fdr,260.0,2-3
3,2.667,fdr0,260.0,2-3
3,2.667,minP,250.0,4-5
3,2.667,minP0,250.0,4-5
3,2.667,bj,200.0,6-7
3,2.667,bj0,200.0,6-7
3,2.667,score,170.0,8-9
3,2.667,score0,170.0,8-9
2,2.556,hc,1.0,1-8
2,2.556,gnull,1.0,1-8
2,2.556,bj,1.0,1-8
2,2.556,fdr,1.0,1-8
2,2.556,minP,1.0,1-8
2,2.556,score,1.0,1-8
2,2.556,ggnull,1.0,1-8
2,2.556,ghc,1.0,1-8
7,2.333,hcFull,340.0,1
7,2.333,score,230.0,10-11
7,2.333,score0,230.0,10-11
7,2.333,bj,220.0,12-13
7,2.333,bj0,220.0,12-13
7,2.333,ggnull,180.0,14-17
7,2.333,gnull,180.0,14-17
7,2.333,gnull0,180.0,14-17
7,2.333,ggnull0,180.0,14-17
7,2.333,minP,290.0,2-5
7,2.333,fdr,290.0,2-5
7,2.333,minP0,290.0,2-5
7,2.333,fdr0,290.0,2-5
7,2.333,ghc,250.0,6-9
7,2.333,hc,250.0,6-9
7,2.333,hc0,250.0,6-9
7,2.333,ghc0,250.0,6-9
7,2.667,hcFull,560.0,1
7,2.667,ggnull,410.0,15
7,2.667,score,390.0,16-17
7,2.667,score0,390.0,16-17
7,2.667,bj,490.0,2-5
7,2.667,fdr,490.0,2-5
7,2.667,bj0,490.0,2-5
7,2.667,fdr0,490.0,2-5
7,2.667,minP,480.0,6-7
7,2.667,minP0,480.0,6-7
7,2.667,ghc,430.0,8-14
7,2.667,hc,430.0,8-14
7,2.667,gnull,430.0,8-14
7,2.667,hc0,430.0,8-14
7,2.667,ghc0,430.0,8-14
7,2.667,gnull0,430.0,8-14
7,2.667,ggnull0,430.0,8-14
3,2.778,hcFull,310.0,1
3,2.778,ggnull,130.0,11
3,2.778,ghc,110.0,12-15
3,2.778,hc,110.0,12-15
3,2.778,hc0,110.0,12-15
3,2.778,ghc0,110.0,12-15
3,2.778,score,70.0,16-17
3,2.778,score0,70.0,16-17
3,2.778,fdr,280.0,2-3
3,2.778,fdr0,280.0,2-3
3,2.778,minP,270.0,4-5
3,2.778,minP0,270.0,4-5
3,2.778,bj,180.0,6-7
